indicator,country,countryiso3code,date,value,unit,obs_status,decimal
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2024,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2023,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2022,17.4,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2021,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2020,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2019,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2018,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2017,17.5,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2016,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2015,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2014,18.8,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2013,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2012,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2011,22.8,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2010,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2009,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2008,28.4,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2007,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2006,27.9,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2005,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2004,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2003,35.5,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2002,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2001,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2000,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1999,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1998,30.6,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1997,34.7,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1996,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1995,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1994,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1993,32.8,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1992,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1991,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1990,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1989,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1988,33.7,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1987,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1986,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1985,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1984,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1983,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1982,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1981,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1980,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1979,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1978,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1977,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1976,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1975,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1974,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1973,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1972,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1971,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1970,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1969,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1968,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1967,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1966,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1965,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1964,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1963,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1962,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1961,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1960,,,,1
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2024,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2023,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2022,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2021,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2020,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2019,59.5,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2018,61.0,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2017,62.6,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2016,64.1,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2015,65.4,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2014,66.5,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2013,67.5,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2012,68.4,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2011,69.4,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2010,70.5,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2009,71.7,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2008,72.6,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2007,73.5,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2006,74.2,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2005,74.8,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2004,75.3,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2003,75.7,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2002,76.0,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2001,76.2,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,2000,76.4,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1999,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1998,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1997,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1996,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1995,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1994,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1993,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1992,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1991,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1990,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1989,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1988,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1987,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1986,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1985,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1984,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1983,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1982,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1981,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1980,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1979,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1978,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1977,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1976,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1975,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1974,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1973,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1972,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1971,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1970,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1969,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1968,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1967,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1966,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1965,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1964,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1963,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1962,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1961,,,,0
anemia,"{'id': 'GH', 'value': 'Ghana'}",GHA,1960,,,,0
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2024,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2023,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2022,5.8,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2021,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2020,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2019,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2018,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2017,6.8,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2016,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2015,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2014,4.7,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2013,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2012,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2011,6.2,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2010,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2009,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2008,8.7,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2007,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2006,6.0,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2005,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2004,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2003,8.4,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2002,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2001,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2000,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1999,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1998,9.9,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1997,8.2,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1996,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1995,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1994,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1993,12.3,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1992,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1991,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1990,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1989,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1988,9.1,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1987,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1986,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1985,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1984,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1983,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1982,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1981,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1980,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1979,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1978,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1977,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1976,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1975,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1974,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1973,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1972,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1971,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1970,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1969,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1968,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1967,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1966,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1965,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1964,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1963,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1962,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1961,,,,1
wasting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1960,,,,1
